# action vocabulary for FDN+SPG (Foundations), generated by VocabDump
# 740 card printings, 644 actions, 530 targets; indices >= those counts are the hashed tail
dim	1024
A	207	Cast Gate Colossus
A	208	Cast Gatekeeper of Malakir
A	209	Cast Gateway Sneak
A	210	Cast Genesis Wave
A	211	Cast Ghalta, Primal Hunger
A	212	Cast Ghitu Lavarunner
A	213	Cast Giada, Font of Hope
A	214	Cast Giant Cindermaw
A	215	Cast Giant Growth
A	216	Cast Gigantosaurus
A	217	Cast Gilded Lotus
A	218	Cast Gleaming Barrier
A	219	Cast Gnarlback Rhino
A	220	Cast Gnarlid Colony
A	221	Cast Goblin Boarders
A	222	Cast Goblin Bushwhacker
A	223	Cast Goblin Firebomb
A	224	Cast Goblin Negotiation
A	225	Cast Goblin Oriflamme
A	226	Cast Goblin Smuggler
A	227	Cast Goblin Surprise
A	228	Cast Goldvein Pick
A	229	Cast Good-Fortune Unicorn
A	230	Cast Gorehorn Raider
A	231	Cast Grappling Kraken
A	232	Cast Gratuitous Violence
A	233	Cast Grim Tutor
A	234	Cast Grow from the Ashes
A	235	Cast Guarded Heir
A	236	Cast Gutless Plunderer
A	237	Cast Guttersnipe
A	238	Cast Halana and Alena, Partners
A	239	Cast Harbinger of the Tides
A	240	Cast Hare Apparent
A	241	Cast Harmless Offering
A	242	Cast Healer's Hawk
A	243	Cast Heartfire Immolator
A	244	Cast Hedron Archive
A	245	Cast Helpful Hunter
A	246	Cast Herald of Eternal Dawn
A	247	Cast Herald of Faith
A	248	Cast Heraldic Banner
A	249	Cast Hero's Downfall
A	250	Cast Heroes' Bane
A	251	Cast Heroic Reinforcements
A	252	Cast Hidetsugu's Second Rite
A	253	Cast High Fae Trickster
A	254	Cast High-Society Hunter
A	255	Cast Highborn Vampire
A	256	Cast Hinterland Sanctifier
A	257	Cast Hoarding Dragon
A	258	Cast Homunculus Horde
A	259	Cast Hungry Ghoul
A	260	Cast Icewind Elemental
A	261	Cast Immersturm Predator
A	262	Cast Impact Tremors
A	263	Cast Imperious Perfect
A	264	Cast Imprisoned in the Moon
A	265	Cast Incinerating Blast
A	266	Cast Infernal Vessel
A	267	Cast Infestation Sage
A	268	Cast Ingenious Leonin
A	269	Cast Inspiration from Beyond
A	270	Cast Inspiring Call
A	271	Cast Inspiring Overseer
A	272	Cast Inspiring Paladin
A	273	Cast Into the Roil
A	274	Cast Involuntary Employment
A	275	Cast Jazal Goldmane
A	276	Cast Joraga Invocation
A	277	Cast Joust Through
A	278	Cast Juggernaut
A	279	Cast Kaito, Cunning Infiltrator
A	280	Cast Kalastria Highborn
A	281	Cast Kargan Dragonrider
A	282	Cast Kellan, Planar Trailblazer
A	283	Cast Kindled Fury
A	284	Cast Kiora, the Rising Tide
A	285	Cast Kitesail Corsair
A	286	Cast Knight of Grace
A	287	Cast Knight of Malice
A	288	Cast Koma, World-Eater
A	289	Cast Krenko, Mob Boss
A	290	Cast Kykar, Zephyr Awakener
A	291	Cast Lathliss, Dragon Queen
A	292	Cast Lathril, Blade of the Elves
A	293	Cast Leonin Skyhunter
A	294	Cast Leonin Vanguard
A	295	Cast Leyline Axe
A	296	Cast Lightshell Duo
A	297	Cast Liliana, Dreadhorde General
A	298	Cast Linden, the Steadfast Queen
A	299	Cast Llanowar Elves
A	300	Cast Loot, Exuberant Explorer
A	301	Cast Luminous Rebuke
A	302	Cast Lunar Insight
A	303	Cast Lyra Dawnbringer
A	304	Cast Maalfeld Twins
A	305	Cast Macabre Waltz
A	306	Cast Maelstrom Pulse
A	307	Cast Magnigoth Sentry
A	308	Cast Make Your Move
A	309	Cast Make a Stand
A	310	Cast Marauding Blight-Priest
A	311	Cast Massacre Wurm
A	312	Cast Mazemind Tome
A	313	Cast Mentor of the Meek
A	314	Cast Meteor Golem
A	315	Cast Micromancer
A	316	Cast Midnight Reaper
A	317	Cast Midnight Snack
A	318	Cast Mild-Mannered Librarian
A	319	Cast Mindsparker
A	320	Cast Mischievous Mystic
A	321	Cast Mischievous Pup
A	322	Cast Mocking Sprite
A	323	Cast Mold Adder
A	324	Cast Moment of Craving
A	325	Cast Moment of Triumph
A	326	Cast Mortify
A	327	Cast Mossborn Hydra
A	328	Cast Muldrotha, the Gravetide
A	329	Cast Myojin of Night's Reach
A	330	Cast Mystic Archaeologist
A	331	Cast Mystical Teachings
A	332	Cast Needletooth Pack
A	333	Cast Negate
A	334	Cast Nessian Hornbeetle
A	335	Cast New Horizons
A	336	Cast Nine-Lives Familiar
A	337	Cast Niv-Mizzet, Visionary
A	338	Cast Nullpriest of Oblivion
A	339	Cast Obliterating Bolt
A	340	Cast Offer Immortality
A	341	Cast Omniscience
A	342	Cast Opt
A	343	Cast Ordeal of Nylea
A	344	Cast Overrun
A	345	Cast Ovika, Enigma Goliath
A	346	Cast Pacifism
A	347	Cast Painful Quandary
A	348	Cast Paradise Druid
A	349	Cast Pelakka Wurm
A	350	Cast Perforating Artist
A	351	Cast Phyrexian Arena
A	352	Cast Pilfer
A	353	Cast Pirate's Cutlass
A	354	Cast Prayer of Binding
A	355	Cast Predator Ooze
A	356	Cast Preposterous Proportions
A	357	Cast Prideful Parent
A	358	Cast Primal Might
A	359	Cast Prime Speaker Zegana
A	360	Cast Primeval Bounty
A	361	Cast Progenitus
A	362	Cast Pulse Tracker
A	363	Cast Pyromancer's Goggles
A	364	Cast Quakestrider Ceratops
A	365	Cast Quick Study
A	366	Cast Quick-Draw Katana
A	367	Cast Quilled Greatwurm
A	368	Cast Raging Redcap
A	369	Cast Raise the Past
A	370	Cast Ramos, Dragon Engine
A	371	Cast Rampaging Baloths
A	372	Cast Rapacious Dragon
A	373	Cast Ravenous Amulet
A	374	Cast Ravenous Giant
A	375	Cast Reassembling Skeleton
A	376	Cast Reclamation Sage
A	377	Cast Redcap Gutter-Dweller
A	378	Cast Refute
A	379	Cast Regal Caracal
A	380	Cast Release the Dogs
A	381	Cast Resolute Reinforcements
A	382	Cast Revenge of the Rats
A	383	Cast Rise of the Dark Realms
A	384	Cast Rite of Replication
A	385	Cast Rite of the Dragoncaller
A	386	Cast River's Rebuke
A	387	Cast Ruby, Daring Tracker
A	388	Cast Run Away Together
A	389	Cast Rune-Scarred Demon
A	390	Cast Rune-Sealed Wall
A	391	Cast Sanguine Indulgence
A	392	Cast Sanguine Syphoner
A	393	Cast Savage Ventmaw
A	394	Cast Savannah Lions
A	395	Cast Scavenging Ooze
A	396	Cast Scorching Dragonfire
A	397	Cast Scrawling Crawler
A	398	Cast Searslicer Goblin
A	399	Cast Seeker's Folly
A	400	Cast Seismic Rupture
A	401	Cast Seize the Spoils
A	402	Cast Self-Reflection
A	403	Cast Serra Angel
A	404	Cast Shipwreck Dowser
A	405	Cast Shivan Dragon
A	406	Cast Sire of Seven Deaths
A	407	Cast Skeleton Archer
A	408	Cast Skyknight Squire
A	409	Cast Skyraker Giant
A	410	Cast Skyship Buccaneer
A	411	Cast Slagstorm
A	412	Cast Slumbering Cerberus
A	413	Cast Snakeskin Veil
A	414	Cast Solemn Simulacrum
A	415	Cast Sorcerous Spyglass
A	416	Cast Soul-Guide Lantern
A	417	Cast Soul-Shackled Zombie
A	418	Cast Sower of Chaos
A	419	Cast Spectral Sailor
A	420	Cast Sphinx of Forgotten Lore
A	421	Cast Sphinx of the Final Word
A	422	Cast Sphinx's Tutelage
A	423	Cast Spinner of Souls
A	424	Cast Spitfire Lagac
A	425	Cast Springbloom Druid
A	426	Cast Squad Rallier
A	427	Cast Stab
A	428	Cast Starlight Snare
A	429	Cast Stasis Snare
A	430	Cast Steel Hellkite
A	431	Cast Storm Fleet Spy
A	432	Cast Strix Lookout
A	433	Cast Stroke of Midnight
A	434	Cast Stromkirk Bloodthief
A	435	Cast Stromkirk Noble
A	436	Cast Strongbox Raider
A	437	Cast Sun-Blessed Healer
A	438	Cast Sure Strike
A	439	Cast Surrak, the Hunt Caller
A	440	Cast Suspicious Shambler
A	441	Cast Swab Goblin
A	442	Cast Swiftblade Vindicator
A	443	Cast Swiftfoot Boots
A	444	Cast Sylvan Scavenging
A	445	Cast Syr Alin, the Lion's Claw
A	446	Cast Tajuru Pathwarden
A	447	Cast Tatyova, Benthic Druid
A	448	Cast Taurean Mauler
A	449	Cast Teach by Example
A	450	Cast Tempest Djinn
A	451	Cast Temporal Manipulation
A	452	Cast Terror of Mount Velus
A	453	Cast Think Twice
A	454	Cast Thornweald Archer
A	455	Cast Thousand-Year Storm
A	456	Cast Thrashing Brontodon
A	457	Cast Three Tree Mascot
A	458	Cast Thrill of Possibility
A	459	Cast Time Stop
A	460	Cast Tinybones, Bauble Burglar
A	461	Cast Tolarian Terror
A	462	Cast Tragic Banshee
A	463	Cast Treetop Snarespinner
A	464	Cast Tribute to Hunger
A	465	Cast Trygon Predator
A	466	Cast Twinblade Blessing
A	467	Cast Twinblade Paladin
A	468	Cast Twinflame Tyrant
A	469	Cast Uncharted Voyage
A	470	Cast Undying Malice
A	471	Cast Unflinching Courage
A	472	Cast Unsummon
A	473	Cast Untamed Hunger
A	474	Cast Valkyrie's Call
A	475	Cast Valorous Stance
A	476	Cast Vampire Gourmand
A	477	Cast Vampire Interloper
A	478	Cast Vampire Neonate
A	479	Cast Vampire Nighthawk
A	480	Cast Vampire Soulcaller
A	481	Cast Vampire Spawn
A	482	Cast Vampiric Rites
A	483	Cast Vanguard Seraph
A	484	Cast Vengeful Bloodwitch
A	485	Cast Venom Connoisseur
A	486	Cast Viashino Pyromancer
A	487	Cast Vile Entomber
A	488	Cast Vivien Reid
A	489	Cast Vizier of the Menagerie
A	490	Cast Volley Veteran
A	491	Cast Voracious Greatshark
A	492	Cast Wardens of the Cycle
A	493	Cast Wary Thespian
A	494	Cast Wildborn Preserver
A	495	Cast Wildheart Invoker
A	496	Cast Wildwood Scourge
A	497	Cast Wilt-Leaf Liege
A	498	Cast Wishclaw Talisman
A	499	Cast Witness Protection
A	500	Cast Youthful Valkyrie
A	501	Cast Zetalpa, Primal Dawn
A	502	Cast Zimone, Paradox Sculptor
A	503	Cast Zombify
A	504	Cast Zul Ashur, Lich Lord
A	505	Crew 3 <i>(Tap any number of creatures you control with total power 3 or more: This Vehicle becomes an artifact creature until end of turn.)</i>
A	506	Equip {1}
A	507	Equip {1} <i>({1}: Attach to target creature you control. Equip only as a sorcery.)</i>
A	508	Equip {2}
A	509	Equip {2} <i>({2}: Attach to target creature you control. Equip only as a sorcery.)</i>
A	510	Equip {3}
A	511	Equip {3} <i>({3}: Attach to target creature you control. Equip only as a sorcery.)</i>
A	512	Equip {3}{W}
A	513	Flashback {2}{B}{B}
A	514	Flashback {2}{R}{R}
A	515	Flashback {2}{U}
A	516	Flashback {3}{U}
A	517	Flashback {4}{R}{R}
A	518	Flashback {5}{B}
A	519	Flashback {5}{U}{U}
A	520	Play Azorius Guildgate
A	521	Play Bloodfell Caves
A	522	Play Blossoming Sands
A	523	Play Boros Guildgate
A	524	Play Crawling Barrens
A	525	Play Cryptic Caves
A	526	Play Demolition Field
A	527	Play Dimir Guildgate
A	528	Play Dismal Backwater
A	529	Play Evolving Wilds
A	530	Play Forest
A	531	Play Golgari Guildgate
A	532	Play Gruul Guildgate
A	533	Play Island
A	534	Play Izzet Guildgate
A	535	Play Jungle Hollow
A	536	Play Maze's End
A	537	Play Mountain
A	538	Play Orzhov Guildgate
A	539	Play Plains
A	540	Play Rakdos Guildgate
A	541	Play Rogue's Passage
A	542	Play Rugged Highlands
A	543	Play Scoured Barrens
A	544	Play Secluded Courtyard
A	545	Play Selesnya Guildgate
A	546	Play Simic Guildgate
A	547	Play Soulstone Sanctuary
A	548	Play Swamp
A	549	Play Swiftwater Cliffs
A	550	Play Temple of Abandon
A	551	Play Temple of Deceit
A	552	Play Temple of Enlightenment
A	553	Play Temple of Epiphany
A	554	Play Temple of Malady
A	555	Play Temple of Malice
A	556	Play Temple of Mystery
A	557	Play Temple of Plenty
A	558	Play Temple of Silence
A	559	Play Temple of Triumph
A	560	Play Thornwood Falls
A	561	Play Tranquil Cove
A	562	Play Uncharted Haven
A	563	Play Wind-Scarred Crag
A	564	Remove a divinity counter from {this}: Each opponent discards their hand.
A	565	Remove five +1/+1 counters from {this}: Add {W}{W}{U}{U}{B}{B}{R}{R}{G}{G}. Activate only once each turn.
A	566	Remove three incubation counters from {this}: Create a 2/2 blue Drake creature token with flying.
A	567	Sacrifice another creature: {this} gains indestructible until end of turn. Tap it.
A	568	Sacrifice {this}: Destroy target enchantment.
A	569	{1}, Sacrifice another creature: Put a +1/+1 counter on {this}.
A	570	{1}, Sacrifice another creature: You gain life equal to the sacrificed creature's toughness.
A	571	{1}, Sacrifice {this}: Destroy target artifact or enchantment.
A	572	{1}, {T}, Remove a wish counter from {this}: Search your library for a card, put it into your hand, then shuffle. An opponent gains control of {this}. Activate only during your turn.
A	573	{1}, {T}, Sacrifice a creature: Draw a card and put a soul counter on {this}. Activate only as a sorcery.
A	574	{1}, {T}, Sacrifice {this}: Draw a card.
A	575	{1}, {T}, Sacrifice {this}: Draw a card. Activate only if you control five or more lands.
A	576	{1}: Add one mana of any color. Activate only once each turn.
A	577	{1}{B}, Sacrifice a creature: You gain 1 life and draw a card.
A	578	{1}{B}: Return this card from your graveyard to the battlefield tapped.
A	579	{1}{R}: Dragons you control get +1/+0 until end of turn.
A	580	{1}{R}: If {this} is a Scout, it becomes a Human Faerie Detective and gains "Whenever {this} deals combat damage to a player, exile the top card of your library. You may play that card this turn."
A	581	{1}{U}, {T}: Draw a card, then discard a card.
A	582	{1}{W}{B}, Sacrifice another creature: Exile target nonland permanent. Activate only if you have at least 10 life more than your starting life total.
A	583	{2}, {T}, Put a page counter on {this}: Draw a card.
A	584	{2}, {T}, Sacrifice {this}: Destroy target nonbasic land an opponent controls. That land's controller may search their library for a basic land card, put it onto the battlefield, then shuffle. You may search your library for a basic land card, put it onto the battlefield, then shuffle.
A	585	{2}, {T}, Sacrifice {this}: Draw two cards.
A	586	{2}, {T}, Sacrifice {this}: Search your library for a land card, reveal it, put it into your hand, then shuffle.
A	587	{2}, {T}: Each opponent loses 1 life and you gain 1 life.
A	588	{2}: {this} gets +1/+0 until end of turn.
A	589	{2}{B}, Sacrifice {this}: Target opponent loses X life, where X is the amount of life you gained this turn.
A	590	{2}{G}: Put a +1/+1 counter on target creature you control. Activate only as a sorcery.
A	591	{2}{G}{G}: Put X +1/+1 counters on {this}, where X is its power.
A	592	{2}{R}: If {this} is a Detective, it becomes a 3/2 Human Faerie Rogue and gains double strike.
A	593	{2}{R}: Target creature can't block this turn.
A	594	{2}{U}{U}: Return {this} to its owner's hand.
A	595	{2}{W}: Look at the top four cards of your library. You may reveal a creature card with power 2 or less from among them and put it into your hand. Put the rest on the bottom of your library in a random order.
A	596	{3}, Sacrifice {this}: Search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle.
A	597	{3}, {T}, Return {this} to its owner's hand: Search your library for a Gate card, put it onto the battlefield, then shuffle. If you control ten or more Gates with different names, you win the game.
A	598	{3}{B}, {T}: Each opponent discards a card. Activate only as a sorcery.
A	599	{3}{G}: {this} becomes a Werewolf. Put two +1/+1 counters on it and you draw a card. Activate only once.
A	600	{3}{U}: Draw a card.
A	601	{3}{U}{U}: Draw two cards.
A	602	{3}{W}: Put a +1/+1 counter on another target attacking creature you control. If that creature is a Cat, it gains first strike until end of turn.
A	603	{3}{W}{W}: Attacking creatures you control get +X/+X until end of turn, where X is the number of attacking creatures.
A	604	{4}, {T}, Sacrifice {this}: Each opponent loses 1 life for each soul counter on {this}.
A	605	{4}, {T}: Target creature can't be blocked this turn.
A	606	{4}: Put two +1/+1 counters on {this}. Then you may have it become a 0/0 Elemental creature until end of turn. It's still a land.
A	607	{4}: This land becomes a 3/3 creature with vigilance and all creature types. It's still a land.
A	608	{4}{B}{B}, Exile this card from your graveyard: Create two 2/2 black Zombie creature tokens. Activate only as a sorcery.
A	609	{4}{G}{G}, {T}: Look at the top six cards of your library. You may put a creature card with mana value less than or equal to the number of lands you control from among them onto the battlefield. Put the rest on the bottom of your library in a random order.
A	610	{4}{W}: Creatures you control get +1/+1 until end of turn.
A	611	{5}{U}: Draw a card, then discard a card.
A	612	{7}, {T}, Sacrifice {this}: Destroy target permanent.
A	613	{8}: Target creature gets +5/+5 and gains trample until end of turn.
A	614	{G}, {T}: Create a 1/1 green Elf Warrior creature token.
A	615	{G}: Exile target card from a graveyard. If it was a creature card, put a +1/+1 counter on {this} and you gain 1 life.
A	616	{G}{U}, {T}: Double the number of each kind of counter on up to two target creatures and/or artifacts you control.
A	617	{R}, Sacrifice {this}: It deals damage equal to its power to target creature or planeswalker.
A	618	{R}: Until end of turn, another target Goblin you control gains flying and "When this creature deals combat damage, sacrifice it."
A	619	{R}: {this} gets +1/+0 until end of turn.
A	620	{T}, Exile {this}: Shuffle your graveyard into your library.
A	621	{T}, Put a page counter on {this}: Scry 1.
A	622	{T}, Sacrifice {this}: Exile each opponent's graveyard.
A	623	{T}, Sacrifice {this}: It deals 1 damage to any target.
A	624	{T}, Sacrifice {this}: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.
A	625	{T}, Tap ten untapped Elves you control: Each opponent loses 10 life and you gain 10 life.
A	626	{T}: Add one mana of any color.
A	627	{T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type or activate an ability of a creature or creature card of the chosen type.
A	628	{T}: Add one mana of the chosen color.
A	629	{T}: Add three mana of any one color.
A	630	{T}: Add {C}{C}.
A	631	{T}: Add {G} for each Elf you control.
A	632	{T}: Add {R}. If that mana is spent on a Dragon creature spell, it gains haste until end of turn.
A	633	{T}: Add {W}. Spend this mana only to cast an Angel spell.
A	634	{T}: Another target creature with power 2 or less can't be blocked this turn.
A	635	{T}: Create X 1/1 red Goblin creature tokens, where X is the number of Goblins you control.
A	636	{T}: Draw three cards.
A	637	{T}: Exile target creature card from a graveyard that was put there this turn. Create a token that's a copy of it, except it's a Nightmare in addition to its other types. Then exile all other Nightmare tokens you control.
A	638	{T}: For each color among permanents you control, add one mana of that color.
A	639	{T}: Surveil 1. <i>(Look at the top card of your library. You may put that card into your graveyard.)</i>
A	640	{T}: Target creature gains haste until end of turn.
A	641	{T}: You may cast target Zombie creature card from your graveyard this turn.
A	642	{X}: Destroy each nonland permanent with mana value X whose controller was dealt combat damage by {this} this turn. Activate only once each turn.
A	643	{X}{B/G}, {T}, Sacrifice another creature: Search your library for a creature card with mana value X or less, put it onto the battlefield, then shuffle. Activate only as a sorcery.
T	0	Stop Choosing
T	1	PlayerA
T	2	PlayerB
T	3	Abrade
T	4	Abyssal Harvester
T	5	Adamant Will
T	6	Adaptive Automaton
T	7	Adventuring Gear
T	8	Aegis Turtle
T	9	Aetherize
T	10	Affectionate Indrik
T	11	Aggressive Mammoth
T	12	Ajani's Pridemate
T	13	Ajani, Caller of the Pride
T	14	Akroma's Memorial
T	15	Alesha, Who Laughs at Fate
T	16	Ambush Wolf
T	17	An Offer You Can't Refuse
T	18	Ancestor Dragon
T	19	Angel of Finality
T	20	Angel of Vitality
T	21	Angelic Destiny
T	22	Angelic Edict
T	23	Anthem of Champions
T	24	Apothecary Stomper
T	25	Arahbo, the First Fang
T	26	Arbiter of Woe
T	27	Arcane Epiphany
T	28	Arcanis the Omnipotent
T	29	Archmage of Runes
T	30	Archway Angel
T	31	Armasaur Guide
T	32	Ashroot Animist
T	33	Aurelia, the Warleader
T	34	Authority of the Consuls
T	35	Axgard Cavalry
T	36	Ayli, Eternal Pilgrim
T	37	Azorius Guildgate
T	38	Bake into a Pie
T	39	Ball Lightning
T	40	Ballyrush Banneret
T	41	Balmor, Battlemage Captain
T	42	Banishing Light
T	43	Banner of Kinship
T	44	Basilisk Collar
T	45	Battle-Rattle Shaman
T	46	Battlesong Berserker
T	47	Bear Cub
T	48	Beast-Kin Ranger
T	49	Bigfin Bouncer
T	50	Billowing Shriekmass
T	51	Biogenic Upgrade
T	52	Bishop's Soldier
T	53	Bite Down
T	54	Blanchwood Armor
T	55	Blasphemous Edict
T	56	Bloodfell Caves
T	57	Bloodthirsty Conqueror
T	58	Bloodtithe Collector
T	59	Bloom Tender
T	60	Blossoming Sands
T	61	Bolt Bend
T	62	Boltwave
T	63	Boros Charm
T	64	Boros Guildgate
T	65	Brass's Bounty
T	66	Brazen Scourge
T	67	Brineborn Cutthroat
