deck	split	colors	main_colors	player_wr_bucket
FDN_top_00070_RG	eval	RG	RG	0.62
FDN_top_00071_WBpR	train	WB+R	WB	0.6
FDN_top_00072_WB	train	WB	WB	0.62
FDN_top_00073_UR	train	UR	UR	0.6
FDN_top_00074_WBR	train	WBR	WBR	0.76
FDN_top_00075_BRpW	train	BR+W	BR	0.62
FDN_top_00076_BR	eval	BR	BR	0.6
FDN_top_00077_BR	eval	BR	BR	0.6
FDN_top_00078_BR	eval	BR	BR	0.6
FDN_top_00079_UB	train	UB	UB	0.64
FDN_top_00080_UG	train	UG	UG	0.64
FDN_top_00081_WB	train	WB	WB	0.6
FDN_top_00082_WG	train	WG	WG	0.66
FDN_top_00083_UR	train	UR	UR	0.6
FDN_top_00084_BR	train	BR	BR	0.72
FDN_top_00085_BR	train	BR	BR	0.72
FDN_top_00086_WBpR	train	WB+R	WB	0.6
FDN_top_00087_WBpR	train	WB+R	WB	0.6
FDN_top_00088_UR	train	UR	UR	0.64
FDN_top_00089_UR	train	UR	UR	0.64
FDN_top_00090_UR	train	UR	UR	0.6
FDN_top_00091_UR	train	UR	UR	0.6
FDN_top_00092_UR	train	UR	UR	0.6
FDN_top_00093_UR	train	UR	UR	0.6
FDN_top_00094_RG	train	RG	RG	0.62
FDN_top_00095_RG	train	RG	RG	0.62
FDN_top_00096_RG	train	RG	RG	0.62
FDN_top_00097_WU	train	WU	WU	0.7000000000000001
FDN_top_00098_UR	train	UR	UR	0.64
FDN_top_00099_WUpG	eval	WU+G	WU	0.6
FDN_top_00100_BRpU	train	BR+U	BR	0.62
FDN_top_00101_UBpR	train	UB+R	UB	0.6
FDN_top_00102_UB	train	UB	UB	0.6
FDN_top_00103_WBpR	train	WB+R	WB	0.6
FDN_top_00104_RGpU	train	RG+U	RG	0.6
FDN_top_00105_UGpB	eval	UG+B	UG	0.6
FDN_top_00106_RG	train	RG	RG	0.62
FDN_top_00107_WU	train	WU	WU	0.6
FDN_top_00108_WR	eval	WR	WR	0.6
FDN_top_00109_BG	eval	BG	BG	0.62
FDN_top_00110_BG	eval	BG	BG	0.62
FDN_top_00111_UR	train	UR	UR	0.64
FDN_top_00112_UR	train	UR	UR	0.64
FDN_top_00113_RGpB	train	RG+B	RG	0.68
FDN_top_00114_WUpR	train	WU+R	WU	0.62
FDN_top_00115_GpU	train	G+U	G	0.64
FDN_top_00116_URpB	train	UR+B	UR	0.62
FDN_top_00117_URpB	train	UR+B	UR	0.62
FDN_top_00118_URpB	train	UR+B	UR	0.62
FDN_top_00119_RGpU	train	RG+U	RG	0.66
FDN_top_00120_WU	train	WU	WU	0.66
FDN_top_00121_BGpU	train	BG+U	BG	0.66
FDN_top_00122_WG	eval	WG	WG	0.66
FDN_top_00123_WR	train	WR	WR	0.62
FDN_top_00124_BR	eval	BR	BR	0.64
FDN_top_00125_BR	train	BR	BR	0.62
FDN_top_00126_BR	train	BR	BR	0.62
FDN_top_00127_WBpR	train	WB+R	WB	0.6
FDN_top_00128_WBpR	train	WB+R	WB	0.6
FDN_top_00129_WR	train	WR	WR	0.62
FDN_top_00130_UB	train	UB	UB	0.6
FDN_top_00131_UR	train	UR	UR	0.74
FDN_top_00132_WB	train	WB	WB	0.62
FDN_top_00133_WG	train	WG	WG	0.74
FDN_top_00134_BR	train	BR	BR	0.62
FDN_top_00135_BR	train	BR	BR	0.7000000000000001
FDN_top_00136_WU	train	WU	WU	0.62
FDN_top_00137_WB	train	WB	WB	0.68
FDN_top_00138_UR	train	UR	UR	0.66
FDN_top_00139_WGpB	train	WG+B	WG	0.6
FDN_top_00140_RpW	train	R+W	R	0.66
FDN_top_00141_RpW	train	R+W	R	0.66
FDN_top_00142_WGpR	train	WG+R	WG	0.62
FDN_top_00143_UB	train	UB	UB	0.64
FDN_top_00144_UB	train	UB	UB	0.64
FDN_top_00145_WB	train	WB	WB	0.64
FDN_top_00146_WR	train	WR	WR	0.66
FDN_top_00147_UB	train	UB	UB	0.66
FDN_top_00148_UB	train	UB	UB	0.66
FDN_top_00149_WGpR	eval	WG+R	WG	0.6
FDN_top_00150_UB	train	UB	UB	0.62
FDN_top_00151_UB	train	UB	UB	0.62
FDN_top_00152_UB	train	UB	UB	0.62
FDN_top_00153_WBpR	train	WB+R	WB	0.64
FDN_top_00154_UR	train	UR	UR	0.64
FDN_top_00155_WG	train	WG	WG	0.6
FDN_top_00156_BG	train	BG	BG	0.68
FDN_top_00157_BG	train	BG	BG	0.6
FDN_top_00158_WG	train	WG	WG	0.6
FDN_top_00159_WB	train	WB	WB	0.62
FDN_top_00160_BR	train	BR	BR	0.64
FDN_top_00161_WR	train	WR	WR	0.64
FDN_top_00162_WR	train	WR	WR	0.68
FDN_top_00163_WR	train	WR	WR	0.68
FDN_top_00164_UR	train	UR	UR	0.6
FDN_top_00165_BR	train	BR	BR	0.66
FDN_top_00166_BR	train	BR	BR	0.66
FDN_top_00167_BR	train	BR	BR	0.66
FDN_top_00168_WU	train	WU	WU	0.62
FDN_top_00169_UR	eval	UR	UR	0.6
FDN_top_00170_WU	train	WU	WU	0.66
FDN_top_00171_WBpU	train	WB+U	WB	0.6
FDN_top_00172_UBpR	train	UB+R	UB	0.62
FDN_top_00173_WR	train	WR	WR	0.62
FDN_top_00174_UGpB	eval	UG+B	UG	0.6
FDN_top_00175_UB	train	UB	UB	0.6
FDN_top_00176_UB	train	UB	UB	0.6
FDN_top_00177_WB	train	WB	WB	0.6
FDN_top_00178_WR	train	WR	WR	0.6
FDN_top_00179_UB	train	UB	UB	0.64
FDN_top_00180_BR	train	BR	BR	0.64
FDN_top_00181_BRpU	train	BR+U	BR	0.62
FDN_top_00182_UB	train	UB	UB	0.6
FDN_top_00183_UR	train	UR	UR	0.6
FDN_top_00184_UR	eval	UR	UR	0.62
FDN_top_00185_UR	eval	UR	UR	0.62
FDN_top_00186_UR	eval	UR	UR	0.62
FDN_top_00187_WR	train	WR	WR	0.62
FDN_top_00188_WR	train	WR	WR	0.62
FDN_top_00189_WB	train	WB	WB	0.6
FDN_top_00190_WB	train	WB	WB	0.66
FDN_top_00191_BGpU	train	BG+U	BG	0.64
FDN_top_00192_UGpR	train	UG+R	UG	0.62
FDN_top_00193_WB	eval	WB	WB	0.64
FDN_top_00194_WB	eval	WB	WB	0.64
FDN_top_00195_WU	train	WU	WU	0.64
FDN_top_00196_WGpBR	train	WG+BR	WG	0.7000000000000001
FDN_top_00197_BGpU	train	BG+U	BG	0.62
FDN_top_00198_BGpU	train	BG+U	BG	0.62
FDN_top_00199_RG	train	RG	RG	0.6
FDN_top_00200_WG	train	WG	WG	0.66
FDN_top_00201_UG	train	UG	UG	0.62
FDN_top_00202_BGpU	train	BG+U	BG	0.66
FDN_top_00203_BGpU	train	BG+U	BG	0.66
FDN_top_00204_WG	train	WG	WG	0.62
FDN_top_00205_WRGpU	train	WRG+U	WRG	0.6
FDN_top_00206_WRGpU	train	WRG+U	WRG	0.6
FDN_top_00207_WB	eval	WB	WB	0.6
FDN_top_00208_BR	eval	BR	BR	0.6
FDN_top_00209_UB	train	UB	UB	0.64
FDN_top_00210_UB	train	UB	UB	0.64
FDN_top_00211_UB	train	UB	UB	0.64
FDN_top_00212_WG	train	WG	WG	0.62
FDN_top_00213_WB	train	WB	WB	0.6
FDN_top_00214_WB	train	WB	WB	0.6
FDN_top_00215_UR	train	UR	UR	0.62
FDN_top_00216_BR	train	BR	BR	0.66
FDN_top_00217_WB	train	WB	WB	0.6
FDN_top_00218_UG	train	UG	UG	0.64
FDN_top_00219_WpB	train	W+B	W	0.72
FDN_top_00220_WpB	train	W+B	W	0.72
FDN_top_00221_WBpG	train	WB+G	WB	0.62
FDN_top_00222_WBpR	train	WB+R	WB	0.7000000000000001
FDN_top_00223_UR	train	UR	UR	0.6
FDN_top_00224_WU	eval	WU	WU	0.6
FDN_top_00225_GpR	eval	G+R	G	0.6
FDN_top_00226_RG	train	RG	RG	0.6
FDN_top_00227_WR	train	WR	WR	0.6
FDN_top_00228_RG	train	RG	RG	0.8200000000000001
FDN_top_00229_WG	train	WG	WG	0.6
FDN_top_00230_BRpU	eval	BR+U	BR	0.6
FDN_top_00231_UpG	train	U+G	U	0.6
FDN_top_00232_WR	train	WR	WR	0.62
FDN_top_00233_UB	train	UB	UB	0.62
FDN_top_00234_UB	train	UB	UB	0.6
FDN_top_00235_UB	train	UB	UB	0.6
FDN_top_00236_WR	train	WR	WR	0.62
FDN_top_00237_WU	train	WU	WU	0.64
FDN_top_00238_UpB	train	U+B	U	0.6
FDN_top_00239_UB	train	UB	UB	0.66
FDN_top_00240_RG	train	RG	RG	0.62
FDN_top_00241_UR	train	UR	UR	0.64
FDN_top_00242_UR	train	UR	UR	0.64
FDN_top_00243_UB	train	UB	UB	0.6
FDN_top_00244_UB	train	UB	UB	0.6
FDN_top_00245_WUpG	train	WU+G	WU	0.64
FDN_top_00246_UBpG	train	UB+G	UB	0.6
FDN_top_00247_UBpG	train	UB+G	UB	0.6
FDN_top_00248_WpB	train	W+B	W	0.62
FDN_top_00249_WU	train	WU	WU	0.6
FDN_top_00250_BGpU	train	BG+U	BG	0.6
FDN_top_00251_BG	train	BG	BG	0.6
FDN_top_00252_BG	train	BG	BG	0.6
FDN_top_00253_WB	train	WB	WB	0.6
FDN_top_00254_BG	train	BG	BG	0.6
FDN_top_00255_BG	train	BG	BG	0.6
FDN_top_00256_BG	train	BG	BG	0.6
FDN_top_00257_UB	train	UB	UB	0.62
FDN_top_00258_RG	train	RG	RG	0.6
FDN_top_00259_UGpW	train	UG+W	UG	0.64
FDN_top_00260_UGpR	train	UG+R	UG	0.64
FDN_top_00261_WG	train	WG	WG	0.62
FDN_top_00262_UR	train	UR	UR	0.6
FDN_top_00263_RG	train	RG	RG	0.7000000000000001
FDN_top_00264_UR	train	UR	UR	0.66
FDN_top_00265_UG	eval	UG	UG	0.6
FDN_top_00266_RG	train	RG	RG	0.6
FDN_top_00267_WR	train	WR	WR	0.74
FDN_top_00268_WR	train	WR	WR	0.74
FDN_top_00269_UR	train	UR	UR	0.76
FDN_top_00270_UBG	eval	UBG	UBG	0.62
FDN_top_00271_UBG	eval	UBG	UBG	0.62
FDN_top_00272_UR	train	UR	UR	0.64
FDN_top_00273_UR	train	UR	UR	0.64
FDN_top_00274_UR	train	UR	UR	0.6
FDN_top_00275_UR	train	UR	UR	0.6
FDN_top_00276_UR	train	UR	UR	0.6
FDN_top_00277_WB	train	WB	WB	0.74
FDN_top_00278_RG	train	RG	RG	0.68
FDN_top_00279_RG	train	RG	RG	0.68
FDN_top_00280_WR	eval	WR	WR	0.62
FDN_top_00281_WU	train	WU	WU	0.6
FDN_top_00282_BG	train	BG	BG	0.6
FDN_top_00283_WGpUB	train	WG+UB	WG	0.62
FDN_top_00284_WGpB	train	WG+B	WG	0.62
FDN_top_00285_UR	train	UR	UR	0.68
FDN_top_00286_UR	train	UR	UR	0.68
FDN_top_00287_UR	train	UR	UR	0.68
FDN_top_00288_WUpG	train	WU+G	WU	0.62
FDN_top_00289_WU	train	WU	WU	0.66
FDN_top_00290_BR	train	BR	BR	0.6
FDN_top_00291_BR	train	BR	BR	0.6
FDN_top_00292_WB	train	WB	WB	0.62
FDN_top_00293_WB	train	WB	WB	0.64
FDN_top_00294_BG	train	BG	BG	0.62
FDN_top_00295_WU	train	WU	WU	0.68
FDN_top_00296_UR	train	UR	UR	0.6
FDN_top_00297_UR	train	UR	UR	0.6
FDN_top_00298_WB	train	WB	WB	0.6
FDN_top_00299_WR	train	WR	WR	0.6
FDN_top_00300_RG	train	RG	RG	0.6
FDN_top_00301_BR	train	BR	BR	0.62
FDN_top_00302_URpW	train	UR+W	UR	0.62
FDN_top_00303_UR	train	UR	UR	0.62
FDN_top_00304_WR	train	WR	WR	0.6
FDN_top_00305_WR	train	WR	WR	0.6
FDN_top_00306_UB	train	UB	UB	0.6
FDN_top_00307_UR	train	UR	UR	0.62
FDN_top_00308_UB	train	UB	UB	0.62
FDN_top_00309_RGpW	train	RG+W	RG	0.64
FDN_top_00310_RGpW	train	RG+W	RG	0.64
FDN_top_00311_RGpW	train	RG+W	RG	0.64
FDN_top_00312_WGpU	train	WG+U	WG	0.62
FDN_top_00313_WGpU	train	WG+U	WG	0.62
FDN_top_00314_WR	train	WR	WR	0.66
FDN_top_00315_BR	train	BR	BR	0.68
FDN_top_00316_WU	eval	WU	WU	0.64
FDN_top_00317_URpG	train	UR+G	UR	0.64
FDN_top_00318_BR	train	BR	BR	0.62
FDN_top_00319_WB	eval	WB	WB	0.64
FDN_top_00320_RG	train	RG	RG	0.62
FDN_top_00321_RG	train	RG	RG	0.62
FDN_top_00322_RG	train	RG	RG	0.62
FDN_top_00323_WG	train	WG	WG	0.62
FDN_top_00324_WB	train	WB	WB	0.64
FDN_top_00325_UG	train	UG	UG	0.62
FDN_top_00326_BGpU	train	BG+U	BG	0.66
FDN_top_00327_BR	eval	BR	BR	0.62
FDN_top_00328_BR	eval	BR	BR	0.62
FDN_top_00329_BR	eval	BR	BR	0.62
FDN_top_00330_WU	train	WU	WU	0.64
FDN_top_00331_WUpG	train	WU+G	WU	0.6
FDN_top_00332_WB	train	WB	WB	0.62
FDN_top_00333_UB	train	UB	UB	0.86
FDN_top_00334_WUG	train	WUG	WUG	0.7000000000000001
FDN_top_00335_WUG	train	WUG	WUG	0.7000000000000001
FDN_top_00336_WpR	train	W+R	W	0.6
FDN_top_00337_UB	train	UB	UB	0.6
FDN_top_00338_UB	train	UB	UB	0.6
FDN_top_00339_WU	train	WU	WU	0.6
FDN_top_00340_WU	train	WU	WU	0.6
FDN_top_00341_BGpU	train	BG+U	BG	0.6
FDN_top_00342_BGpU	train	BG+U	BG	0.6
FDN_top_00343_WB	train	WB	WB	0.6
FDN_top_00344_WB	train	WB	WB	0.68
FDN_top_00345_WB	train	WB	WB	0.68
FDN_top_00346_WpB	train	W+B	W	0.66
FDN_top_00347_WpB	train	W+B	W	0.66
FDN_top_00348_RG	train	RG	RG	0.6
FDN_top_00349_UBpG	train	UB+G	UB	0.7000000000000001
FDN_top_00350_UB	train	UB	UB	0.6
FDN_top_00351_RGpB	train	RG+B	RG	0.6
FDN_top_00352_UB	train	UB	UB	0.72
FDN_top_00353_UBpW	train	UB+W	UB	0.62
FDN_top_00354_WU	train	WU	WU	0.62
FDN_top_00355_WU	train	WU	WU	0.64
FDN_top_00356_WR	eval	WR	WR	0.6
FDN_top_00357_BG	train	BG	BG	0.62
FDN_top_00358_WR	train	WR	WR	0.62
FDN_top_00359_RG	train	RG	RG	0.6
FDN_top_00360_RGpU	train	RG+U	RG	0.6
FDN_top_00361_BR	train	BR	BR	0.6
FDN_top_00362_RGpU	train	RG+U	RG	0.6
FDN_top_00363_BG	train	BG	BG	0.7000000000000001
FDN_top_00364_WR	train	WR	WR	0.6
FDN_top_00365_WU	train	WU	WU	0.6
FDN_top_00366_W	eval	W	W	0.62
FDN_top_00367_UGpR	eval	UG+R	UG	0.66
FDN_top_00368_UBpW	train	UB+W	UB	0.7000000000000001
FDN_top_00369_WRpB	train	WR+B	WR	0.6
FDN_top_00370_WB	train	WB	WB	0.74
FDN_top_00371_WR	eval	WR	WR	0.66
FDN_top_00372_RGpU	train	RG+U	RG	0.6
FDN_top_00373_WU	train	WU	WU	0.62
FDN_top_00374_BR	train	BR	BR	0.76
FDN_top_00375_BR	train	BR	BR	0.76
FDN_top_00376_WG	train	WG	WG	0.62
FDN_top_00377_B	train	B	B	0.6
FDN_top_00378_UGpW	train	UG+W	UG	0.76
FDN_top_00379_WpU	train	W+U	W	0.74
FDN_top_00380_WpU	train	W+U	W	0.74
FDN_top_00381_WGpR	train	WG+R	WG	0.6
FDN_top_00382_WUB	train	WUB	WUB	0.7000000000000001
FDN_top_00383_WUpR	train	WU+R	WU	0.62
FDN_top_00384_UGpR	train	UG+R	UG	0.66
FDN_top_00385_W	train	W	W	0.62
FDN_top_00386_WGpB	train	WG+B	WG	0.6
FDN_top_00387_UR	train	UR	UR	0.62
FDN_top_00388_UR	train	UR	UR	0.62
FDN_top_00389_UR	train	UR	UR	0.62
FDN_top_00390_UR	train	UR	UR	0.62
FDN_top_00391_BR	train	BR	BR	0.62
FDN_top_00392_BR	train	BR	BR	0.62
FDN_top_00393_BR	train	BR	BR	0.62
FDN_top_00394_BpR	train	B+R	B	0.66
FDN_top_00395_BR	train	BR	BR	0.7000000000000001
FDN_top_00396_BR	train	BR	BR	0.7000000000000001
FDN_top_00397_WB	train	WB	WB	0.62
FDN_top_00398_WBpG	train	WB+G	WB	0.62
FDN_top_00399_WBpG	train	WB+G	WB	0.62
FDN_top_00400_WR	train	WR	WR	0.68
FDN_top_00401_WR	train	WR	WR	0.68
FDN_top_00402_WGpU	train	WG+U	WG	0.74
FDN_top_00403_WG	train	WG	WG	0.74
FDN_top_00404_WU	train	WU	WU	0.6
FDN_top_00405_URpW	eval	UR+W	UR	0.62
FDN_top_00406_G	eval	G	G	0.6
FDN_top_00407_G	eval	G	G	0.6
FDN_top_00408_UB	train	UB	UB	0.68
FDN_top_00409_UB	train	UB	UB	0.68
FDN_top_00410_WU	train	WU	WU	0.62
FDN_top_00411_UBpG	train	UB+G	UB	0.64
FDN_top_00412_WB	eval	WB	WB	0.62
FDN_top_00413_WB	eval	WB	WB	0.62
FDN_top_00414_BRpG	eval	BR+G	BR	0.6
FDN_top_00415_BRpG	eval	BR+G	BR	0.6
FDN_top_00416_RG	train	RG	RG	0.6
FDN_top_00417_BGpU	train	BG+U	BG	0.6
FDN_top_00418_UBpG	train	UB+G	UB	0.64
FDN_top_00419_WB	train	WB	WB	0.68
FDN_top_00420_BR	train	BR	BR	0.62
FDN_top_00421_WU	train	WU	WU	0.6
FDN_top_00422_RGpU	train	RG+U	RG	0.6
FDN_top_00423_UG	train	UG	UG	0.64
FDN_top_00424_UG	train	UG	UG	0.64
FDN_top_00425_BRG	eval	BRG	BRG	0.64
FDN_top_00426_BRG	eval	BRG	BRG	0.64
FDN_top_00427_UB	train	UB	UB	0.62
FDN_top_00428_UBpR	train	UB+R	UB	0.64
FDN_top_00429_UR	train	UR	UR	0.8
FDN_top_00430_RG	train	RG	RG	0.66
FDN_top_00431_RG	train	RG	RG	0.66
FDN_top_00432_UR	train	UR	UR	0.62
FDN_top_00433_UR	train	UR	UR	0.62
FDN_top_00434_WB	train	WB	WB	0.66
FDN_top_00435_RG	eval	RG	RG	0.6
FDN_top_00436_BRpW	train	BR+W	BR	0.66
FDN_top_00437_UB	train	UB	UB	0.6
FDN_top_00438_WU	train	WU	WU	0.6
FDN_top_00439_UG	train	UG	UG	0.6
FDN_top_00440_WB	train	WB	WB	0.76
FDN_top_00441_WG	train	WG	WG	0.7000000000000001
FDN_top_00442_UGpR	train	UG+R	UG	0.62
FDN_top_00443_BR	train	BR	BR	0.6
FDN_top_00444_UB	train	UB	UB	0.6
FDN_top_00445_WU	train	WU	WU	0.62
FDN_top_00446_RG	eval	RG	RG	0.64
FDN_top_00447_UB	train	UB	UB	0.62
FDN_top_00448_UB	train	UB	UB	0.62
FDN_top_00449_WR	train	WR	WR	0.6
FDN_top_00450_WR	train	WR	WR	0.64
FDN_top_00451_UBG	train	UBG	UBG	0.64
FDN_top_00452_WB	train	WB	WB	0.6
FDN_top_00453_UGpR	train	UG+R	UG	0.72
FDN_top_00454_UGpWR	train	UG+WR	UG	0.6
FDN_top_00455_WB	train	WB	WB	0.62
FDN_top_00456_BG	eval	BG	BG	0.64
FDN_top_00457_WR	train	WR	WR	0.64
FDN_top_00458_WR	train	WR	WR	0.64
FDN_top_00459_WGpR	train	WG+R	WG	0.62
FDN_top_00460_WR	train	WR	WR	0.7000000000000001
FDN_top_00461_UB	train	UB	UB	0.64
FDN_top_00462_UG	train	UG	UG	0.64
FDN_top_00463_UG	train	UG	UG	0.64
FDN_top_00464_WUBR	train	WUBR	WUBR	0.62
FDN_top_00465_WB	train	WB	WB	0.6
FDN_top_00466_RG	train	RG	RG	0.66
FDN_top_00467_BR	train	BR	BR	0.68
FDN_top_00468_WRG	train	WRG	WRG	0.66
FDN_top_00469_BR	train	BR	BR	0.62
FDN_top_00470_BR	train	BR	BR	0.62
FDN_top_00471_WB	eval	WB	WB	0.66
FDN_top_00472_WB	train	WB	WB	0.68
FDN_top_00473_WR	train	WR	WR	0.62
FDN_top_00474_WB	train	WB	WB	0.68
FDN_top_00475_WB	eval	WB	WB	0.72
FDN_top_00476_UG	train	UG	UG	0.62
FDN_top_00477_RG	train	RG	RG	0.62
FDN_top_00478_UB	train	UB	UB	0.6
FDN_top_00479_RGpB	train	RG+B	RG	0.62
FDN_top_00480_WG	train	WG	WG	0.6
FDN_top_00481_BR	train	BR	BR	0.68
FDN_top_00482_UG	train	UG	UG	0.6
FDN_top_00483_URpW	train	UR+W	UR	0.64
FDN_top_00484_GpW	train	G+W	G	0.6
FDN_top_00485_UR	train	UR	UR	0.74
FDN_top_00486_UpR	train	U+R	U	0.6
FDN_top_00487_WB	eval	WB	WB	0.6
FDN_top_00488_WR	train	WR	WR	0.62
FDN_top_00489_BGpR	train	BG+R	BG	0.76
FDN_top_00490_RG	train	RG	RG	0.64
FDN_top_00491_WB	train	WB	WB	0.6
FDN_top_00492_BR	train	BR	BR	0.7000000000000001
FDN_top_00493_BR	train	BR	BR	0.7000000000000001
FDN_top_00494_UR	train	UR	UR	0.64
FDN_top_00495_RGpW	train	RG+W	RG	0.6
FDN_top_00496_BR	train	BR	BR	0.6
FDN_top_00497_BR	train	BR	BR	0.6
FDN_top_00498_WU	train	WU	WU	0.6
FDN_top_00499_UBG	train	UBG	UBG	0.66
FDN_top_00500_UR	train	UR	UR	0.6
FDN_top_00501_RGpB	train	RG+B	RG	0.62
FDN_top_00502_RGpB	train	RG+B	RG	0.62
FDN_top_00503_UBpG	train	UB+G	UB	0.62
FDN_top_00504_BR	train	BR	BR	0.62
FDN_top_00505_WU	train	WU	WU	0.64
FDN_top_00506_WB	train	WB	WB	0.68
FDN_top_00507_UG	train	UG	UG	0.62
FDN_top_00508_BpR	train	B+R	B	0.62
FDN_top_00509_UR	train	UR	UR	0.62
FDN_top_00510_UR	train	UR	UR	0.62
FDN_top_00511_UR	train	UR	UR	0.6
FDN_top_00512_UR	train	UR	UR	0.6
FDN_top_00513_BR	train	BR	BR	0.64
FDN_top_00514_WB	train	WB	WB	0.6
FDN_top_00515_UGpB	train	UG+B	UG	0.66
FDN_top_00516_UB	train	UB	UB	0.6
FDN_top_00517_WRpU	train	WR+U	WR	0.66
FDN_top_00518_WR	train	WR	WR	0.6
FDN_top_00519_UGpB	train	UG+B	UG	0.62
FDN_top_00520_UR	train	UR	UR	0.6
FDN_top_00521_WB	train	WB	WB	0.64
FDN_top_00522_WUG	eval	WUG	WUG	0.62
FDN_top_00523_WB	train	WB	WB	0.62
FDN_top_00524_WB	train	WB	WB	0.62
FDN_top_00525_UR	train	UR	UR	0.66
FDN_top_00526_UR	train	UR	UR	0.66
FDN_top_00527_WU	train	WU	WU	0.6
FDN_top_00528_WGpB	eval	WG+B	WG	0.62
FDN_top_00529_BG	train	BG	BG	0.64
FDN_top_00530_BpR	train	B+R	B	0.6
FDN_top_00531_GpU	train	G+U	G	0.78
FDN_top_00532_GpU	train	G+U	G	0.78
FDN_top_00533_WR	train	WR	WR	0.6
FDN_top_00534_BG	train	BG	BG	0.66
FDN_top_00535_RG	train	RG	RG	0.64
FDN_top_00536_BGpU	train	BG+U	BG	0.62
FDN_top_00537_WU	train	WU	WU	0.7000000000000001
FDN_top_00538_UG	train	UG	UG	0.68
FDN_top_00539_WB	train	WB	WB	0.68
FDN_top_00540_WB	train	WB	WB	0.68
FDN_top_00541_WR	train	WR	WR	0.64
FDN_top_00542_WR	train	WR	WR	0.64
FDN_top_00543_WR	train	WR	WR	0.66
FDN_top_00544_WU	train	WU	WU	0.76
FDN_top_00545_RGpW	train	RG+W	RG	0.62
FDN_top_00546_UBpW	train	UB+W	UB	0.6
FDN_top_00547_RG	train	RG	RG	0.62
FDN_top_00548_RG	train	RG	RG	0.62
FDN_top_00549_UBpR	train	UB+R	UB	0.62
FDN_top_00550_UG	eval	UG	UG	0.64
FDN_top_00551_WUpG	train	WU+G	WU	0.76
